"resource","config","cores","id","metric","value"
"Anvil","v2206, 128",128,2,"runtime",390.118872173
"Anvil","v2206, 128",128,8,"runtime",387.749341824
"Anvil","v2206, 128",128,3,"runtime",413.086914093
"Anvil","v2206, 128",128,1,"runtime",396.823264483
"Anvil","v2206, 128",128,5,"runtime",383.456663574
"Anvil","v2206, 128",128,7,"runtime",426.706901604
"Anvil","v2206, 128",128,6,"runtime",405.407767339
"Anvil","v2206, 128",128,9,"runtime",381.246040585
"Anvil","v2206, 128",128,4,"runtime",407.519767328
"Expanse","v2206, 48",48,2,"runtime",487.103412995
"Expanse","v2206, 48",48,8,"runtime",466.853564388
"Expanse","v2206, 48",48,3,"runtime",465.054767684
"Expanse","v2206, 48",48,1,"runtime",494.23052959
"Expanse","v2206, 48",48,5,"runtime",467.419215299
"Expanse","v2206, 48",48,7,"runtime",490.735147104
"Expanse","v2206, 48",48,6,"runtime",477.975849711
"Expanse","v2206, 48",48,9,"runtime",540.817662523
"Expanse","v2206, 48",48,10,"runtime",501.89651809
"Expanse","v2206, 48",48,4,"runtime",440.593092468
"Expanse","v2206, 128",128,2,"runtime",634.219614842
"Expanse","v2206, 128",128,8,"runtime",650.142620894
"Expanse","v2206, 128",128,3,"runtime",587.406898375
"Expanse","v2206, 128",128,1,"runtime",616.718938909
"Expanse","v2206, 128",128,5,"runtime",639.293622714
"Expanse","v2206, 128",128,7,"runtime",932.346274091
"Expanse","v2206, 128",128,6,"runtime",603.055130401
"Expanse","v2206, 128",128,9,"runtime",612.345302133
"Expanse","v2206, 128",128,10,"runtime",702.790365908
"Expanse","v2206, 128",128,4,"runtime",613.21706899
